threshold_deg,scale,comp_id,area_sqft,aspect_ratio,centroid_dist_ft,centroid_az_deg,bbox_h,bbox_w
25,1ft_raw,1592,8.0,3.0,106.9,121.7,6,2
25,1ft_raw,1618,8.0,1.25,149.0,113.1,5,4
25,1ft_raw,1719,8.0,2.0,147.7,118.3,4,2
25,1ft_raw,1729,8.0,1.25,107.0,131.8,5,4
25,1ft_raw,1821,8.0,1.0,87.5,153.5,4,4
25,1ft_raw,1871,8.0,3.0,82.1,166.7,2,6
25,1ft_raw,1880,8.0,1.25,144.9,124.2,5,4
25,1ft_raw,1881,8.0,1.67,147.9,123.4,5,3
25,1ft_raw,1904,8.0,1.67,92.4,154.6,5,3
25,1ft_raw,2064,8.0,1.0,101.4,205.1,4,4
25,1ft_raw,2099,8.0,1.25,119.8,140.9,4,5
25,1ft_raw,2209,8.0,2.5,102.8,199.5,2,5
25,1ft_raw,2354,8.0,1.67,105.4,186.8,3,5
25,1ft_raw,2360,8.0,1.25,113.3,158.0,4,5
25,1ft_raw,2378,8.0,1.25,117.2,204.6,5,4
25,1ft_raw,2708,8.0,2.5,138.0,207.9,2,5
25,1ft_raw,2914,8.0,2.5,133.7,186.2,2,5
25,1ft_raw,3063,8.0,1.33,329.5,131.7,3,4
25,1ft_raw,3086,8.0,3.0,241.0,190.1,2,6
25,1ft_raw,3096,8.0,1.25,423.4,125.2,5,4
25,5ft_smooth,9,8.0,1.33,379.7,187.1,3,4
30,1ft_raw,3,8.0,1.33,399.1,359.3,4,3
30,1ft_raw,40,8.0,1.25,389.9,355.0,5,4
30,1ft_raw,46,8.0,1.25,387.3,355.7,5,4
30,1ft_raw,61,8.0,1.33,384.0,357.9,3,4
30,1ft_raw,77,8.0,1.67,380.5,354.1,5,3
30,1ft_raw,151,8.0,1.0,361.2,353.6,4,4
30,1ft_raw,314,8.0,1.25,299.9,331.1,5,4
30,1ft_raw,316,8.0,2.0,304.8,327.8,6,3
30,1ft_raw,662,8.0,1.67,294.5,279.0,5,3
30,1ft_raw,909,8.0,1.67,118.7,101.1,5,3
30,1ft_raw,1765,8.0,1.67,258.3,195.8,5,3
30,1ft_raw,1811,8.0,1.33,557.6,226.6,3,4
30,3ft_smooth,8,8.0,1.67,422.3,43.3,5,3
30,3ft_smooth,37,8.0,1.25,399.2,189.0,5,4
25,1ft_raw,13,7.0,1.0,436.4,23.9,4,4
25,1ft_raw,18,7.0,1.67,398.6,4.7,3,5
25,1ft_raw,87,7.0,1.0,369.3,351.0,4,4
25,1ft_raw,141,7.0,3.0,387.2,328.3,2,6
25,1ft_raw,358,7.0,1.67,231.8,347.7,5,3
25,1ft_raw,558,7.0,2.5,112.4,9.0,2,5
25,1ft_raw,728,7.0,2.0,176.0,58.4,4,2
25,1ft_raw,780,7.0,1.67,378.6,282.7,3,5
25,1ft_raw,870,7.0,2.0,260.9,284.2,4,2
25,1ft_raw,945,7.0,1.33,145.2,69.9,4,3
25,1ft_raw,998,7.0,1.33,159.2,74.6,4,3
25,1ft_raw,1003,7.0,2.5,133.4,72.3,5,2
25,1ft_raw,1086,7.0,1.33,117.1,77.8,4,3
25,1ft_raw,1121,7.0,1.67,114.9,81.2,5,3
25,1ft_raw,1151,7.0,1.67,155.8,85.0,5,3
25,1ft_raw,1158,7.0,2.5,137.3,84.9,5,2
25,1ft_raw,1171,7.0,1.33,140.2,85.6,4,3
25,1ft_raw,1185,7.0,3.0,120.4,86.8,6,2
25,1ft_raw,1192,7.0,3.0,116.8,87.0,6,2
25,1ft_raw,1206,7.0,2.5,234.1,88.9,5,2
