band_key,az,blocked_pct
bend r15,322.0,0.0
bend r15,324.0,0.0
bend r15,326.0,0.0
bend r15,328.0,0.0
bend r15,330.0,0.0
bend r15,332.0,0.0
bend r15,334.0,0.0
bend r15,336.0,0.0
bend r15,338.0,0.0
bend r15,340.0,0.0
bend r15,342.0,0.0
bend r15,344.0,0.0
bend r15,346.0,0.0
bend r15,348.0,0.0
bend r15,350.0,0.0
bend r15,352.0,0.0
bend r15,354.0,0.0
bend r15,356.0,0.0
bend r15,358.0,0.0
bend r15,360.0,0.0
bend r16,280.0,0.0
bend r16,282.0,0.0
bend r16,284.0,0.0
bend r16,286.0,0.0
bend r16,288.0,0.0
bend r16,290.0,0.0
bend r16,292.0,0.0
bend r16,294.0,0.0
bend r16,296.0,0.0
bend r16,298.0,0.0
bend r16,300.0,0.0
