osm_id,name,type,area_m2,dist_m,az_deg,axis_off_deg,axis_along_m,axis_perp_m,ue_x_N_cm,ue_y_E_cm,live_roof_Z_m,dem_grade_Z_m,height_AGL_m,verdict
557735189,Petoskey Post Office,public,1102.9,339.4,154.3,-175.7,-338.5,25.3,-32291,15726,,,,
557735208,,retail,1092.9,204.6,81.4,111.4,-74.8,190.4,1328,21224,,,,
557735214,Petoskey Public Library,yes,1037.4,435.7,101.3,131.3,-287.7,327.3,-10264,43716,,,,
557735200,,industrial,1002.9,237.1,120.4,150.4,-206.2,117.1,-13718,21439,,,,
543927704,,yes,969.0,228.3,110.6,140.6,-176.5,144.8,-9758,22353,,,,
609308569,,yes,885.5,435.3,194.8,-135.2,-308.8,306.8,-43802,-10136,,,,
559235363,First Presbyterian Church,yes,867.9,465.1,92.7,122.7,-251.0,391.6,-3871,47451,,,,
558923156,Royal Tire,yes,791.8,631.1,270.0,-60.0,315.3,546.6,-1739,-62117,,,,
558953904,,yes,776.4,576.1,269.8,-60.2,286.7,499.7,-1868,-56621,,,,
559235356,,yes,762.4,96.3,20.6,50.6,61.2,74.4,7303,4374,,,,
557735212,,yes,759.8,315.8,135.7,165.7,-306.0,78.0,-24318,23045,,,,
558923136,,yes,753.6,470.4,301.6,-28.4,413.8,223.9,22922,-39087,,,,
557735213,,yes,749.7,453.5,115.1,145.1,-371.8,259.7,-20926,42070,,,,
1288927370,,yes,747.7,278.7,94.3,124.3,-157.0,230.2,-3802,28777,,,,
557735211,City Park Grill,yes,728.1,320.3,85.4,115.4,-137.4,289.3,853,32917,,,,
558923153,,roof,687.3,659.1,264.6,-65.4,273.9,599.4,-7967,-64618,,,,
1288927366,,yes,659.3,178.7,116.2,146.2,-148.5,99.4,-9602,17027,,,,
563397185,,yes,647.0,697.7,279.7,-50.3,446.0,536.6,10078,-67775,,,,
557735202,Grain Train Natural Foods Market,yes,646.1,81.6,166.5,-163.5,-78.2,23.2,-9645,2894,,,,
1288927371,,yes,641.3,333.7,93.3,123.3,-183.0,279.0,-3614,34305,,,,
510276685,Little Traverse Hist. Soc.,yes,630.5,159.3,330.8,0.8,159.3,2.2,12185,-6783,184.55,179.87,4.68,on-grade
557735218,,yes,628.0,258.7,293.1,-36.9,206.9,155.2,8444,-22797,,,,
576882408,First Christian Church,yes,620.6,528.5,250.9,-79.1,99.7,519.0,-19032,-48945,,,,
584727857,,yes,603.4,530.9,80.1,110.1,-182.8,498.4,7369,53296,,,,
559216676,,yes,601.8,397.6,284.9,-45.1,280.4,281.9,8477,-37440,,,,
559216675,,yes,601.6,447.4,283.3,-46.7,306.8,325.7,8567,-42554,,,,
613101548,,yes,589.3,644.2,61.6,91.6,-18.1,644.0,28915,57665,,,,
559186802,,yes,584.9,447.4,261.7,-68.3,165.1,415.8,-8209,-43274,,,,
1288927379,,yes,577.7,157.1,98.9,128.9,-98.7,122.2,-4156,16507,,,,
557735193,,apartments,573.9,401.0,128.0,158.0,-371.8,150.3,-26404,32594,,,,
